,id_a,distancia,split_number,bf
0,AA133683,1,8,bbf
1,AA148985,1,8,bbf
2,AA156225,1,8,bbf
3,AA173267,1,8,bbf
4,AA156594,1,8,bbf
5,AA183493,1,8,bbf
6,AA134070,1,8,bbf
7,AA118636,1,8,bbf
8,AA26654,1,8,bbf
9,AA155995,1,8,bbf
10,AA28509,1,8,bbf
11,AA149261,1,8,bbf
12,AA157937,1,8,bbf
13,AA129147,1,8,bbf
14,AA36931,1,8,bbf
15,AA122613,1,8,bbf
16,AA112186,1,8,bbf
17,AB36968,1,8,bbf
18,AB3635,1,8,bbf
19,AB32650,1,8,bbf
20,AB23370,1,8,bbf
21,AB6349,1,8,bbf
22,AS66941,1,8,bbf
23,AB29289,1,8,bbf
24,AC15504,1,8,bbf
25,AC13036,1,8,bbf
26,AC5969,1,8,bbf
27,AD28116,1,8,bbf
28,AD19080,1,8,bbf
29,AD14670,1,8,bbf
30,AD24298,1,8,bbf
31,AD27864,1,8,bbf
32,DZ58676,1,8,bbf
33,AD27459,1,8,bbf
34,AE21358,1,8,bbf
35,AE28877,1,8,bbf
36,AE26382,1,8,bbf
37,AE23669,1,8,bbf
38,AF18425,1,8,bbf
39,AF25219,1,8,bbf
40,AF22330,1,8,bbf
41,AF20280,1,8,bbf
42,AF5551,1,8,bbf
43,AF23440,1,8,bbf
44,AF8252,1,8,bbf
45,AG24432,1,8,bbf
46,AG42049,1,8,bbf
47,AG29271,1,8,bbf
48,AG5273,1,8,bbf
49,AG47474,1,8,bbf
50,AG46950,1,8,bbf
51,AG4421,1,8,bbf
52,AG46064,1,8,bbf
53,AG37449,1,8,bbf
54,AG31393,1,8,bbf
55,AG40290,1,8,bbf
56,AG43914,1,8,bbf
57,AH2129,1,8,bbf
58,AH6699,1,8,bbf
59,AH10864,1,8,bbf
60,AH12408,1,8,bbf
61,AH18471,1,8,bbf
62,AJ39544,1,8,bbf
63,DX21011,1,8,bbf
64,AJ35691,1,8,bbf
65,AJ34878,1,8,bbf
66,AJ10149,1,8,bbf
67,AJ5030,1,8,bbf
68,AK104315,1,8,bbf
69,AK101486,1,8,bbf
70,AK5610,1,8,bbf
71,AK112657,1,8,bbf
72,AK73589,1,8,bbf
73,AK77868,1,8,bbf
74,AK120198,1,8,bbf
75,AK69595,1,8,bbf
76,AK78434,1,8,bbf
77,AK118666,1,8,bbf
78,AK122965,1,8,bbf
79,AK136673,1,8,bbf
80,AK92352,1,8,bbf
81,AK16877,1,8,bbf
82,AK56474,1,8,bbf
83,AK89469,1,8,bbf
84,AK80215,1,8,bbf
85,AK20908,1,8,bbf
86,AK21177,1,8,bbf
87,AL253492,1,8,bbf
88,AL186551,1,8,bbf
89,AL158457,1,8,bbf
90,AL241885,1,8,bbf
91,AL225527,1,8,bbf
92,AL4282,1,8,bbf
93,AL218978,1,8,bbf
94,AL129571,1,8,bbf
95,AL7394,1,8,bbf
96,AL137549,1,8,bbf
97,BL338212,1,8,bbf
98,CG91407,1,8,bbf
99,AL9669,1,8,bbf
100,AL242005,1,8,bbf
101,AL196265,1,8,bbf
102,AL102787,1,8,bbf
103,AL226917,1,8,bbf
104,AL260012,1,8,bbf
105,AL231720,1,8,bbf
106,AL273493,1,8,bbf
107,AL226219,1,8,bbf
108,AL253707,1,8,bbf
109,AL31393,1,8,bbf
110,AL49491,1,8,bbf
111,CC108122,1,8,bbf
112,AL149483,1,8,bbf
113,AL143878,1,8,bbf
114,AL19361,1,8,bbf
115,AL53058,1,8,bbf
116,AL292664,1,8,bbf
117,AL222756,1,8,bbf
118,AL19776,1,8,bbf
119,AL267518,1,8,bbf
120,AL222807,1,8,bbf
121,AL192408,1,8,bbf
122,AL198673,1,8,bbf
123,AL247562,1,8,bbf
124,AL250820,1,8,bbf
125,AL146839,1,8,bbf
126,AL90210,1,8,bbf
127,AL201655,1,8,bbf
128,AL235728,1,8,bbf
129,EH711937,1,8,bbf
130,AM79330,1,8,bbf
131,AM74679,1,8,bbf
132,AM25019,1,8,bbf
133,AM81173,1,8,bbf
134,AM16559,1,8,bbf
135,AM2414,1,8,bbf
136,CW755170,1,8,bbf
137,AM83390,1,8,bbf
138,AM96926,1,8,bbf
139,AM30509,1,8,bbf
140,AM78608,1,8,bbf
141,AM20206,1,8,bbf
142,AM37728,1,8,bbf
143,AM83930,1,8,bbf
144,AM11878,1,8,bbf
145,AM91600,1,8,bbf
146,AM85020,1,8,bbf
147,AM39518,1,8,bbf
148,AM81589,1,8,bbf
149,AM81876,1,8,bbf
150,AN22869,1,8,bbf
151,AN80051,1,8,bbf
152,AN184883,1,8,bbf
153,AN144792,1,8,bbf
154,AN72237,1,8,bbf
155,AN122986,1,8,bbf
156,AN32610,1,8,bbf
157,AN144435,1,8,bbf
158,AN5722,1,8,bbf
159,AN127195,1,8,bbf
160,AN163486,1,8,bbf
161,AN21078,1,8,bbf
