,id_a,distancia,split_number,bf
0,AA36931,32,32,bbf
1,AB6349,32,32,bbf
2,AF8252,32,32,bbf
3,AJ10149,1,32,bbf
4,AK101486,1,32,bbf
5,AK77868,1,32,bbf
6,AK118666,1,32,bbf
7,AL4282,32,32,bbf
8,AL129571,8,32,bbf
9,AL137549,32,32,bbf
10,AL260012,32,32,bbf
11,AL31393,32,32,bbf
12,AL292664,32,32,bbf
13,AL90210,1,32,bbf
14,EH711937,1,32,bbf
15,AM74679,32,32,bbf
16,AM96926,1,32,bbf
17,AM30509,32,32,bbf
18,AM11878,32,32,bbf
19,AN184883,1,32,bbf
20,AN192980,12,32,bbf
21,AN195770,32,32,bbf
22,AN198038,11,32,bbf
23,AN121625,32,32,bbf
24,AN99584,1,32,bbf
25,AN102279,24,32,bbf
26,AW174965,1,32,bbf
27,AW6339,1,32,bbf
28,AY27393,1,32,bbf
29,DN71002,32,32,bbf
30,BD52290,1,32,bbf
31,BD138825,32,32,bbf
32,DD110802,32,32,bbf
33,BE400449,32,32,bbf
34,BE108939,32,32,bbf
35,BE274364,1,32,bbf
36,BE55827,1,32,bbf
37,BE78653,1,32,bbf
38,BE105527,1,32,bbf
39,BG8403,1,32,bbf
40,BH80872,32,32,bbf
41,BH102713,32,32,bbf
42,BJ42479,32,32,bbf
43,BK49547,1,32,bbf
44,BL226149,32,32,bbf
45,BL442077,20,32,bbf
46,BL38460,11,32,bbf
47,BN472445,32,32,bbf
48,BN390213,32,32,bbf
49,AF25802,32,32,bbf
50,BN431739,32,32,bbf
51,BN38691,32,32,bbf
52,BR115155,5,32,bbf
53,BR172547,32,32,bbf
54,BR168193,1,32,bbf
55,BW3555,1,32,bbf
56,BY528290,32,32,bbf
57,BY616914,14,32,bbf
58,BY518111,20,32,bbf
59,BY265322,1,32,bbf
60,AL210909,10,32,bbf
61,AK55337,5,32,bbf
62,BZ29111,1,32,bbf
63,CB5222,1,32,bbf
64,AK77330,1,32,bbf
65,CD15975,1,32,bbf
66,CD24236,10,32,bbf
67,CE37711,1,32,bbf
68,CE48228,32,32,bbf
69,CE13756,1,32,bbf
70,CG132476,32,32,bbf
71,CG116958,29,32,bbf
72,CG169627,32,32,bbf
73,CG134332,32,32,bbf
74,AW142867,1,32,bbf
75,CG169445,1,32,bbf
76,CG147105,1,32,bbf
77,CH31171,1,32,bbf
78,CJ55814,11,32,bbf
79,CJ22540,20,32,bbf
80,EH639228,2,32,bbf
81,CJ117700,29,32,bbf
82,CL45923,8,32,bbf
83,CN47457,20,32,bbf
84,CR6299,32,32,bbf
85,CS19040,32,32,bbf
86,CS31441,18,32,bbf
87,CW1114054,32,32,bbf
88,CW977883,32,32,bbf
89,CW53446,32,32,bbf
90,CW1141031,32,32,bbf
91,CW1105990,32,32,bbf
92,CW505158,1,32,bbf
93,CW13846,1,32,bbf
94,CW870230,1,32,bbf
95,CW986157,1,32,bbf
96,CW1034272,5,32,bbf
97,CW1066388,32,32,bbf
98,CG43610,1,32,bbf
99,CW1076758,31,32,bbf
100,CW1084105,15,32,bbf
101,CW847690,32,32,bbf
102,CW407449,1,32,bbf
103,CW888597,32,32,bbf
104,CZ15419,14,32,bbf
105,CZ88396,31,32,bbf
106,CZ43730,32,32,bbf
107,CZ101129,32,32,bbf
108,DA105751,32,32,bbf
109,DA115432,32,32,bbf
110,DA111415,10,32,bbf
111,DA11296,1,32,bbf
112,EP82216,32,32,bbf
113,DB137581,32,32,bbf
114,DB226493,14,32,bbf
115,DB226201,20,32,bbf
116,DD83289,1,32,bbf
117,DE17257,32,32,bbf
118,DE294320,1,32,bbf
119,AK9098,13,32,bbf
120,DB187502,32,32,bbf
121,DK37986,10,32,bbf
122,DK34709,8,32,bbf
123,DK18914,32,32,bbf
124,DK35398,14,32,bbf
125,DL188456,32,32,bbf
126,DL254358,3,32,bbf
127,CW776061,32,32,bbf
128,DL240464,1,32,bbf
129,DL234008,32,32,bbf
130,CL47115,32,32,bbf
131,DN21831,1,32,bbf
132,DP30715,1,32,bbf
133,DR112159,17,32,bbf
134,DS26788,1,32,bbf
135,DT135273,32,32,bbf
136,DW33438,1,32,bbf
137,DX20968,32,32,bbf
138,DX21318,32,32,bbf
139,DZ25730,1,32,bbf
140,DZ51595,32,32,bbf
141,EA34052,1,32,bbf
142,EB66859,14,32,bbf
143,EB47053,32,32,bbf
144,ED29425,32,32,bbf
145,ED12970,32,32,bbf
146,EF161021,10,32,bbf
147,EF67961,32,32,bbf
148,EF110604,1,32,bbf
149,EG15569,1,32,bbf
150,EH8095,32,32,bbf
151,EH868685,32,32,bbf
152,EH550387,32,32,bbf
153,EH705163,32,32,bbf
154,EH383993,32,32,bbf
155,EH572779,10,32,bbf
156,EH545176,32,32,bbf
157,EH931844,22,32,bbf
158,DH36371,32,32,bbf
159,CA47394,1,32,bbf
160,EH275385,1,32,bbf
161,EH865368,1,32,bbf
162,EH480190,8,32,bbf
163,EH424113,32,32,bbf
164,EH632884,1,32,bbf
165,EH489264,32,32,bbf
166,EP35093,18,32,bbf
167,EP12857,8,32,bbf
168,ER27156,1,32,bbf
169,ES23461,14,32,bbf
