,id_a,distancia
0,AA133683,1
1,AA148985,8
2,AA156225,8
3,AA173267,21
4,AA156594,8
5,AA183493,14
6,AA134070,11
7,AA118636,9
8,AA26654,6
9,AA155995,9
10,AA28509,8
11,AA149261,12
12,AA157937,8
13,AA129147,13
14,AA36931,8
15,AA122613,8
16,AA112186,13
17,AB36968,14
18,AB3635,14
19,AB32650,13
20,AB23370,11
21,AB6349,52
22,AS66941,2
23,AB29289,15
24,AC15504,21
25,AC13036,7
26,AC5969,5
27,AD28116,14
28,AD19080,8
29,AD14670,9
30,AD24298,8
31,AD27864,13
32,DZ58676,8
33,AD27459,9
34,AE21358,14
35,AE28877,13
36,AE26382,10
37,AE23669,11
38,AF18425,8
39,AF25219,9
40,AF22330,6
41,AF20280,8
42,AF5551,16
43,AF23440,13
44,AF8252,57
45,AG24432,10
46,AG42049,19
47,AG29271,9
48,AG5273,8
49,AG47474,5
50,AG46950,13
51,AG4421,11
52,AG46064,8
53,AG37449,13
54,AG31393,15
55,AG40290,9
56,AG43914,15
57,AH2129,8
58,AH6699,9
59,AH10864,6
60,AH12408,14
61,AH18471,2
62,AJ39544,16
63,DX21011,13
64,AJ35691,47
65,AJ34878,9
66,AJ10149,15
67,AJ5030,8
68,AK104315,2
69,AK101486,10
70,AK5610,5
71,AK112657,19
72,AK73589,11
73,AK77868,8
74,AK120198,14
75,AK69595,14
76,AK78434,9
77,AK118666,19
78,AK122965,2
79,AK136673,10
80,AK92352,15
81,AK16877,13
82,AK56474,14
83,AK89469,10
84,AK80215,19
85,AK20908,15
86,AK21177,9
87,AL253492,15
88,AL186551,19
89,AL158457,8
90,AL241885,8
91,AL225527,34
92,AL4282,64
93,AL218978,21
94,AL129571,26
95,AL7394,1
96,AL137549,10
97,BL338212,8
98,CG91407,15
99,AL9669,22
100,AL242005,11
101,AL196265,11
102,AL102787,5
103,AL226917,13
104,AL260012,19
105,AL231720,8
106,AL273493,8
107,AL226219,12
108,AL253707,14
109,AL31393,26
110,AL49491,9
111,CC108122,22
112,AL149483,26
113,AL143878,25
114,AL19361,25
115,AL53058,21
116,AL292664,22
117,AL222756,2
118,AL19776,13
119,AL267518,15
120,AL222807,14
121,AL192408,22
122,AL198673,14
123,AL247562,30
124,AL250820,26
125,AL146839,1
126,AL90210,17
127,AL201655,14
128,AL235728,15
129,EH711937,16
130,AM79330,16
131,AM74679,38
132,AM25019,14
133,AM81173,15
134,AM16559,9
135,AM2414,11
136,CW755170,11
137,AM83390,19
138,AM96926,15
139,AM30509,29
140,AM78608,13
141,AM20206,14
142,AM37728,9
143,AM83930,14
144,AM11878,42
145,AM91600,15
146,AM85020,5
147,AM39518,10
148,AM81589,13
149,AM81876,18
150,AN22869,8
151,AN80051,13
152,AN184883,10
153,AN144792,10
154,AN72237,11
155,AN122986,19
156,AN32610,16
157,AN144435,16
158,AN5722,8
159,AN127195,18
160,AN163486,24
161,AN21078,11
162,AN166182,11
163,AN192980,22
164,AN132886,3
165,AN195770,3
166,AN198038,20
167,AN121625,60
168,AN124301,14
169,AN163264,14
170,AN109444,8
171,AN99584,11
172,AN106055,14
173,AN14003,11
174,EH109111,39
175,AN14524,13
176,AN187401,12
177,AN197757,1
178,AN102279,20
179,AN57633,37
180,AN56469,9
181,AN186071,11
182,AN121822,11
183,AN126895,9
184,AP54149,15
185,EL50977,10
186,AP39965,8
187,AP73880,5
188,AP23032,8
189,AM73731,15
190,AP27264,1
191,AP69516,8
192,AP28281,14
193,AP4480,16
194,AP75921,19
195,AP29442,13
196,AP39912,12
197,AP30991,7
198,AM64602,11
199,AP81448,8
200,AR14008,9
201,AS63804,8
202,AS58016,15
203,AS79203,14
204,AS86129,10
205,AS36678,10
206,AS24148,15
207,AS86503,11
208,AS78167,8
209,AS85572,11
210,AS47144,8
211,AS76317,10
212,AS85196,14
213,DL115164,11
214,AS65390,13
215,AS77317,13
216,AS13031,11
217,AS44520,8
218,AS14976,13
219,AS75879,18
220,AT8181,13
221,AT8481,21
222,AT27997,13
223,AW190842,4
224,AX68174,11
225,AW132709,13
226,AW6363,14
227,AW196088,11
228,AW167906,9
229,CW509040,9
230,AW138252,9
231,AW108699,4
232,AW110905,9
233,AW203617,8
234,AW168443,2
235,AW134578,8
236,AW90915,8
237,AW166651,14
238,AW131893,10
239,AW172023,8
240,AW127055,11
241,AW206282,14
242,AW157381,11
243,AW161689,7
244,CN61774,19
245,AW131735,8
246,AW23336,17
247,AW168724,15
248,AW84328,8
249,AW144840,10
250,AW102616,8
251,AW174965,11
252,AW6339,4
253,AW185536,15
254,AX2065,11
255,AX47586,10
256,AX4014,10
257,AX32662,9
258,AX7110,9
259,AX42203,13
260,AX54075,2
261,AX36949,9
262,AX9577,7
263,DE174808,10
264,AX36413,13
265,AX56958,13
266,AX35850,1
267,AY16743,5
268,AY25754,5
269,AY34658,6
270,AZ16432,14
271,AY27393,19
272,BA5123,8
273,BA7616,8
274,BA15079,22
275,BB36934,13
276,BB46453,1
277,BB94097,16
278,BB102225,2
279,DN71002,62
280,BB72542,11
281,BB41530,6
282,BB59749,15
283,BB42488,11
284,BB52527,11
285,BB33624,8
286,BB45678,6
287,BB71552,2
288,BC56103,9
289,BC56478,14
290,BC47962,9
291,BC28458,10
292,BC51840,19
293,BC55500,9
294,BC46727,8
295,BC36579,19
296,BC18810,3
297,BD8064,21
298,BD130599,15
299,BD105809,5
300,BD52290,25
301,BD114669,1
302,BD99277,21
303,BD138825,29
304,BD73339,11
305,BD135190,13
306,BD27764,14
