,id_a,distancia,split_number,bf
0,AA133683,1,4,xbf
1,AA148985,1,4,xbf
2,AA156225,1,4,xbf
3,AA173267,1,4,xbf
4,AA156594,1,4,xbf
5,AA183493,1,4,xbf
6,AA134070,1,4,xbf
7,AA118636,1,4,xbf
8,AA26654,1,4,xbf
9,AA155995,1,4,xbf
10,AA28509,1,4,xbf
11,AA149261,1,4,xbf
12,AA157937,1,4,xbf
13,AA129147,1,4,xbf
14,AA36931,4,4,xbf
15,AA122613,1,4,xbf
16,AA112186,1,4,xbf
17,AB36968,1,4,xbf
18,AB3635,1,4,xbf
19,AB32650,1,4,xbf
20,AB23370,1,4,xbf
21,AB6349,4,4,xbf
22,AS66941,1,4,xbf
23,AB29289,1,4,xbf
24,AC15504,1,4,xbf
25,AC13036,1,4,xbf
26,AC5969,1,4,xbf
27,AD28116,1,4,xbf
28,AD19080,1,4,xbf
29,AD14670,1,4,xbf
30,AD24298,1,4,xbf
31,AD27864,1,4,xbf
32,DZ58676,1,4,xbf
33,AD27459,1,4,xbf
34,AE21358,1,4,xbf
35,AE28877,1,4,xbf
36,AE26382,1,4,xbf
37,AE23669,1,4,xbf
38,AF18425,1,4,xbf
39,AF25219,1,4,xbf
40,AF22330,1,4,xbf
41,AF20280,1,4,xbf
42,AF5551,1,4,xbf
43,AF23440,1,4,xbf
44,AF8252,4,4,xbf
45,AG24432,1,4,xbf
46,AG42049,1,4,xbf
47,AG29271,1,4,xbf
48,AG5273,1,4,xbf
49,AG47474,1,4,xbf
50,AG46950,1,4,xbf
51,AG4421,1,4,xbf
52,AG46064,1,4,xbf
53,AG37449,1,4,xbf
54,AG31393,1,4,xbf
55,AG40290,1,4,xbf
56,AG43914,1,4,xbf
57,AH2129,1,4,xbf
58,AH6699,1,4,xbf
59,AH10864,1,4,xbf
60,AH12408,1,4,xbf
61,AH18471,1,4,xbf
62,AJ39544,1,4,xbf
63,DX21011,1,4,xbf
64,AJ35691,1,4,xbf
65,AJ34878,1,4,xbf
66,AJ10149,1,4,xbf
67,AJ5030,1,4,xbf
68,AK104315,1,4,xbf
69,AK101486,1,4,xbf
70,AK5610,1,4,xbf
71,AK112657,1,4,xbf
72,AK73589,1,4,xbf
73,AK77868,1,4,xbf
74,AK120198,1,4,xbf
75,AK69595,1,4,xbf
76,AK78434,1,4,xbf
77,AK118666,1,4,xbf
78,AK122965,1,4,xbf
79,AK136673,1,4,xbf
80,AK92352,1,4,xbf
81,AK16877,1,4,xbf
82,AK56474,1,4,xbf
83,AK89469,1,4,xbf
84,AK80215,1,4,xbf
85,AK20908,1,4,xbf
86,AK21177,1,4,xbf
87,AL253492,1,4,xbf
88,AL186551,1,4,xbf
89,AL158457,1,4,xbf
90,AL241885,1,4,xbf
91,AL225527,1,4,xbf
92,AL4282,4,4,xbf
93,AL218978,1,4,xbf
94,AL129571,4,4,xbf
95,AL7394,1,4,xbf
96,AL137549,4,4,xbf
97,BL338212,1,4,xbf
