,id_a,distancia,split_number,bf
0,AA36931,16,16,xbf
1,AB6349,16,16,xbf
2,AF8252,8,16,xbf
3,AJ10149,1,16,xbf
4,AK101486,1,16,xbf
5,AK77868,1,16,xbf
6,AK118666,1,16,xbf
7,AL4282,16,16,xbf
8,AL129571,16,16,xbf
9,AL137549,16,16,xbf
10,AL260012,16,16,xbf
11,AL31393,9,16,xbf
12,AL292664,16,16,xbf
13,AL90210,1,16,xbf
14,EH711937,1,16,xbf
15,AM74679,16,16,xbf
16,AM96926,1,16,xbf
17,AM30509,16,16,xbf
18,AM11878,16,16,xbf
19,AN184883,1,16,xbf
20,AN192980,2,16,xbf
21,AN195770,16,16,xbf
22,AN198038,12,16,xbf
23,AN121625,16,16,xbf
24,AN99584,1,16,xbf
25,AN102279,16,16,xbf
26,AW174965,1,16,xbf
27,AW6339,1,16,xbf
28,AY27393,1,16,xbf
29,DN71002,16,16,xbf
30,BD52290,1,16,xbf
31,BD138825,16,16,xbf
32,DD110802,16,16,xbf
33,BE400449,16,16,xbf
34,BE108939,16,16,xbf
35,BE274364,1,16,xbf
36,BE55827,1,16,xbf
37,BE78653,1,16,xbf
38,BE105527,1,16,xbf
39,BG8403,1,16,xbf
40,BH80872,16,16,xbf
41,BH102713,16,16,xbf
42,BJ42479,8,16,xbf
43,BK49547,1,16,xbf
44,BL226149,16,16,xbf
45,BL442077,5,16,xbf
46,BL38460,4,16,xbf
47,BN472445,16,16,xbf
48,BN390213,16,16,xbf
49,AF25802,16,16,xbf
50,BN431739,16,16,xbf
51,BN38691,16,16,xbf
52,BR115155,16,16,xbf
53,BR172547,4,16,xbf
54,BR168193,1,16,xbf
55,BW3555,1,16,xbf
56,BY528290,16,16,xbf
57,BY616914,1,16,xbf
58,BY518111,4,16,xbf
59,BY265322,1,16,xbf
60,AL210909,16,16,xbf
61,AK55337,3,16,xbf
62,BZ29111,1,16,xbf
63,CB5222,1,16,xbf
64,AK77330,1,16,xbf
65,CD15975,1,16,xbf
66,CD24236,12,16,xbf
67,CE37711,1,16,xbf
68,CE48228,16,16,xbf
69,CE13756,1,16,xbf
70,CG132476,16,16,xbf
71,CG116958,14,16,xbf
72,CG169627,15,16,xbf
73,CG134332,15,16,xbf
74,AW142867,1,16,xbf
75,CG169445,1,16,xbf
76,CG147105,1,16,xbf
77,CH31171,1,16,xbf
78,CJ55814,16,16,xbf
79,CJ22540,16,16,xbf
80,EH639228,16,16,xbf
81,CJ117700,15,16,xbf
82,CL45923,4,16,xbf
83,CN47457,16,16,xbf
84,CR6299,6,16,xbf
85,CS19040,6,16,xbf
86,CS31441,1,16,xbf
87,CW1114054,5,16,xbf
88,CW977883,16,16,xbf
89,CW53446,16,16,xbf
90,CW1141031,16,16,xbf
91,CW1105990,16,16,xbf
92,CW505158,1,16,xbf
93,CW13846,1,16,xbf
94,CW870230,1,16,xbf
95,CW986157,1,16,xbf
96,CW1034272,1,16,xbf
97,CW1066388,16,16,xbf
98,CG43610,1,16,xbf
99,CW1076758,16,16,xbf
100,CW1084105,16,16,xbf
101,CW847690,12,16,xbf
102,CW407449,1,16,xbf
103,CW888597,16,16,xbf
104,CZ15419,15,16,xbf
105,CZ88396,12,16,xbf
106,CZ43730,16,16,xbf
107,CZ101129,16,16,xbf
108,DA105751,16,16,xbf
109,DA115432,16,16,xbf
110,DA111415,16,16,xbf
111,DA11296,1,16,xbf
112,EP82216,16,16,xbf
113,DB137581,16,16,xbf
114,DB226493,16,16,xbf
115,DB226201,12,16,xbf
116,DD83289,1,16,xbf
117,DE17257,16,16,xbf
118,DE294320,1,16,xbf
119,AK9098,16,16,xbf
120,DB187502,15,16,xbf
121,DK37986,16,16,xbf
122,DK34709,9,16,xbf
123,DK18914,16,16,xbf
124,DK35398,15,16,xbf
125,DL188456,16,16,xbf
126,DL254358,2,16,xbf
127,CW776061,16,16,xbf
128,DL240464,1,16,xbf
129,DL234008,16,16,xbf
130,CL47115,16,16,xbf
131,DN21831,1,16,xbf
132,DP30715,1,16,xbf
133,DR112159,1,16,xbf
134,DS26788,1,16,xbf
135,DT135273,16,16,xbf
136,DW33438,1,16,xbf
137,DX20968,16,16,xbf
138,DX21318,16,16,xbf
139,DZ25730,1,16,xbf
140,DZ51595,16,16,xbf
141,EA34052,1,16,xbf
142,EB66859,16,16,xbf
143,EB47053,16,16,xbf
144,ED29425,5,16,xbf
145,ED12970,16,16,xbf
146,EF161021,16,16,xbf
147,EF67961,12,16,xbf
148,EF110604,1,16,xbf
149,EG15569,1,16,xbf
150,EH8095,16,16,xbf
151,EH868685,16,16,xbf
152,EH550387,16,16,xbf
153,EH705163,16,16,xbf
154,EH383993,6,16,xbf
155,EH572779,16,16,xbf
156,EH545176,16,16,xbf
157,EH931844,16,16,xbf
158,DH36371,16,16,xbf
159,CA47394,1,16,xbf
160,EH275385,1,16,xbf
161,EH865368,1,16,xbf
162,EH480190,6,16,xbf
163,EH424113,14,16,xbf
164,EH632884,1,16,xbf
165,EH489264,16,16,xbf
166,EP35093,16,16,xbf
167,EP12857,4,16,xbf
168,ER27156,1,16,xbf
169,ES23461,4,16,xbf
